Rule #,Name,Location,Tags,Type,Source Zone,Source Address,Source User,Source Device,Destination Zone,Destination Address,Destination Device,Application,Service,Action,Profile,Options,Target,Rule Usage Description,Rule Usage Rule Usage,Rule Usage Apps Seen,Days With No New Apps,Modified,Created
1,Block_DMZ_to_Mgmt_VNC,la-datacenterfw,,universal,DMZ,net-tier-10_1_3_0_24,any,any,Mgmt,10.1.1.0/24,any,LA_App_Any_And_Web,vnc-tcp-5900,deny,threat-prevention,log at both ends,PA-3410,Exception tracked in INC849758 pending remediation,9019,unknown-tcp,156,2025-06-28 01:07:58,2022-07-05 01:07:58
2,Allow_Guest_to_DMZ_SMTP,la-datacenterfw,,universal,Untrust,any,domain\itops,any,Trust,any,any,any,telnet-tcp-23,allow,none,Traffic log sent at session end,PA-3410,,1553,dns,188,2025-03-29 21:09:58,2022-05-26 21:09:58
3,Allow_Guest_to_DMZ_FTP,la-datacenterfw,,universal,Guest,LA_All_Addresses,any,any,DMZ,any,any,imap,LA_FTP_All,allow,best-practice,none,PA-3410,Legacy rule—owner unknown,0,"ftp, smb",68,2025-05-06 16:14:58,2024-05-13 16:14:58
4,Allow_Mgmt_to_Mgmt_DNS,la-datacenterfw,,universal,Mgmt,legacy.la.corp,domain\itops,any,Mgmt,any,any,dns,LA_Windows_RPC_NetBIOS,allow,best-practice,Traffic log sent at session end,PA-3410,Temporary allow per INC540876 (expires in 30d),145,(none),95,2025-09-13 21:21:58,2025-07-12 21:21:58
5,Allow_Internet_to_DMZ_IMAP,la-datacenterfw,,universal,Untrust,any,svc_batch,any,DMZ,10.216.162.24/32,any,imap,LA_SNMP_Group,allow,antivirus,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Temporary workaround—no ticket provided,0,ssh,166,2025-07-28 04:56:58,2023-12-01 04:56:58
6,Allow_DMZ_to_DMZ_POP3,la-datacenterfw,,universal,DMZ,srv-la-app05.corp.local,any,any,DMZ,10.1.5.0/24,any,pop3,netbios-ns-udp-137,allow,best-practice,log at both ends,PA-3410,Change approved under INC779751,171,"ftp, smb",374,2025-05-28 03:05:58,2023-11-23 03:05:58
7,Allow_Internet_to_Mgmt_DNS,la-datacenterfw,,universal,Untrust,any,svc_backup,any,Trust,any,any,any,ms-rpc-udp-135,allow,none,Traffic log sent at start,PA-3410,Temporary workaround—no ticket provided,8325,ssh,252,2025-08-04 05:23:58,2023-03-12 05:23:58
8,Allow_DMZ_to_Mgmt_IMAP,la-datacenterfw,,universal,DMZ,srv-la-app07.corp.local,svc_batch,any,Mgmt,10.1.10.0/24,any,imap,backdoor-common-tcp-4444,allow,antivirus,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Temporary allow per INC245015 (expires in 30d),5811,dns,95,2024-12-18 10:39:58,2024-01-15 10:39:58
9,Allow_Guest_to_Trust_POP3,la-datacenterfw,,universal,Guest,any,any,any,Trust,10.1.10.0/24,any,pop3,dns-udp-53,allow,antivirus,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Observed traffic baseline only,5937,dns,373,2025-10-21 22:34:58,2022-09-24 22:34:58
10,Allow_DMZ_to_Mgmt_SSH,la-datacenterfw,,universal,Untrust,any,svc_batch,any,Trust,any,any,any,ms-rpc-tcp-135,allow,none,none,PA-3410,Legacy rule—owner unknown,881,ssh,224,2025-01-04 06:37:58,2023-02-09 06:37:58
11,Allow_Guest_to_Trust_ANY-App,la-datacenterfw,,universal,Guest,10.1.3.0/24,domain\finance,any,Trust,any,any,any,LA_Windows_RPC_NetBIOS,allow,none,log at both ends,PA-3410,Exception tracked in INC608123 pending remediation,14,(none),307,2025-04-09 08:34:58,2022-05-13 08:34:58
12,Allow_Trust_to_DMZ_LA_APP_ANY_AND_WEB,la-datacenterfw,,universal,Trust,srv-la-app07.corp.local,any,any,DMZ,LA_Corp_Internal,any,LA_App_Any_And_Web,netbios-ns-tcp-137,allow,none,Traffic log sent at start; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Exception tracked in INC423009 pending remediation,873,"rdp, vnc",366,2025-10-18 20:25:58,2025-04-01 20:25:58
13,Allow_Internet_to_Guest_HTTP,la-datacenterfw,,universal,Untrust,updates.la.vendor.local,svc_backup,any,Guest,10.85.27.28/32,any,ssh,https-tcp-443,allow,best-practice,none,PA-3410,Temporary allow per INC102810 (expires in 30d),0,dns,148,2024-11-20 22:04:58,2024-09-26 22:04:58
14,Allow_Mgmt_to_Mgmt_SMTP,la-datacenterfw,,universal,Mgmt,srv-la-app01.corp.local,domain\finance,any,Mgmt,any,any,smtp,LA_Remote_Access_Insecure,allow,none,Traffic log sent at session end; Log Forwarding Profile setting: Forward to Panorama,PA-3410,Operational requirement documented in INC339709,246,(none),211,2025-04-06 05:44:58,2022-12-20 05:44:58
